
Predictions were generated on 19-Aug-2019 at 16:37:54 using AA 
 AeroAcoustics
Number of observers      :    1
Number of frequencies    :   34
     Time           	Obs1_Freq10         	Obs1_Freq12.5       	Obs1_Freq16         	Obs1_Freq20         	Obs1_Freq25         	Obs1_Freq31.5       	Obs1_Freq40         	Obs1_Freq50         	Obs1_Freq63         	Obs1_Freq80         	Obs1_Freq100        	Obs1_Freq125        	Obs1_Freq160        	Obs1_Freq200        	Obs1_Freq250        	Obs1_Freq315        	Obs1_Freq400        	Obs1_Freq500        	Obs1_Freq630        	Obs1_Freq800        	Obs1_Freq1000       	Obs1_Freq1250       	Obs1_Freq1600       	Obs1_Freq2000       	Obs1_Freq2500       	Obs1_Freq3150       	Obs1_Freq4000       	Obs1_Freq5000       	Obs1_Freq6300       	Obs1_Freq8000       	Obs1_Freq10000      	Obs1_Freq12500      	Obs1_Freq16000      	Obs1_Freq20000      
      (s)           	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 
         0.1000	  5.042344E+001	  4.881396E+001	  4.727519E+001	  4.618664E+001	  4.519400E+001	  4.396285E+001	  4.250374E+001	  4.136077E+001	  4.055742E+001	  4.006769E+001	  3.987419E+001	  3.991161E+001	  4.020079E+001	  4.039798E+001	  4.025617E+001	  3.990486E+001	  3.938292E+001	  3.872280E+001	  3.775872E+001	  3.636134E+001	  3.476971E+001	  3.307444E+001	  3.117590E+001	  2.941455E+001	  2.758444E+001	  2.559017E+001	  2.339313E+001	  2.119049E+001	  1.873198E+001	  1.597648E+001	  1.318325E+001	  1.015627E+001	  6.509259E+000	  2.919200E+000
         0.2000	  5.022162E+001	  4.894532E+001	  4.744834E+001	  4.631971E+001	  4.537438E+001	  4.421729E+001	  4.259854E+001	  4.115626E+001	  4.004161E+001	  3.927250E+001	  3.876823E+001	  3.821756E+001	  3.759159E+001	  3.735475E+001	  3.742619E+001	  3.776082E+001	  3.805174E+001	  3.800079E+001	  3.740909E+001	  3.624520E+001	  3.480514E+001	  3.321405E+001	  3.140520E+001	  2.971474E+001	  2.794818E+001	  2.601477E+001	  2.387775E+001	  2.172866E+001	  1.932197E+001	  1.661516E+001	  1.386260E+001	  1.087179E+001	  7.260148E+000	  3.698835E+000
         0.3000	  5.021966E+001	  4.908394E+001	  4.756704E+001	  4.638740E+001	  4.535360E+001	  4.423107E+001	  4.276373E+001	  4.131619E+001	  4.018514E+001	  3.939965E+001	  3.888144E+001	  3.836324E+001	  3.773809E+001	  3.741937E+001	  3.739449E+001	  3.765819E+001	  3.790209E+001	  3.781016E+001	  3.722465E+001	  3.615561E+001	  3.485728E+001	  3.336348E+001	  3.157417E+001	  2.989989E+001	  2.815861E+001	  2.626003E+001	  2.416943E+001	  2.207560E+001	  1.974074E+001	  1.712635E+001	  1.447924E+001	  1.161490E+001	  8.170811E+000	  4.788765E+000
         0.4000	  4.706371E+001	  4.575031E+001	  4.428284E+001	  4.338295E+001	  4.299618E+001	  4.277249E+001	  4.209230E+001	  4.110887E+001	  4.025219E+001	  3.989814E+001	  3.980430E+001	  3.953688E+001	  3.899324E+001	  3.863466E+001	  3.856228E+001	  3.875423E+001	  3.886061E+001	  3.863051E+001	  3.790282E+001	  3.670149E+001	  3.529189E+001	  3.371176E+001	  3.189485E+001	  3.019836E+001	  2.842650E+001	  2.648750E+001	  2.434568E+001	  2.219492E+001	  1.979100E+001	  1.709311E+001	  1.435550E+001	  1.138708E+001	  7.810211E+000	  4.290468E+000
         0.5000	  4.766822E+001	  4.601596E+001	  4.427914E+001	  4.304881E+001	  4.225262E+001	  4.133546E+001	  3.974622E+001	  3.846349E+001	  3.791722E+001	  3.817509E+001	  3.867288E+001	  3.903380E+001	  3.917509E+001	  3.927466E+001	  3.948599E+001	  3.974027E+001	  3.977436E+001	  3.936660E+001	  3.843438E+001	  3.703495E+001	  3.546469E+001	  3.380186E+001	  3.192962E+001	  3.018251E+001	  2.835761E+001	  2.635857E+001	  2.414608E+001	  2.191927E+001	  1.942527E+001	  1.662156E+001	  1.377281E+001	  1.068059E+001	  6.950846E+000	  3.277365E+000
         0.6000	  4.945090E+001	  4.867937E+001	  4.764045E+001	  4.626000E+001	  4.496950E+001	  4.406013E+001	  4.329492E+001	  4.232901E+001	  4.125838E+001	  4.087364E+001	  4.098709E+001	  4.121563E+001	  4.150432E+001	  4.199561E+001	  4.225946E+001	  4.192128E+001	  4.110743E+001	  4.008604E+001	  3.870522E+001	  3.686614E+001	  3.500523E+001	  3.313184E+001	  3.104999E+001	  2.913453E+001	  2.716143E+001	  2.502011E+001	  2.265987E+001	  2.029035E+001	  1.764530E+001	  1.468518E+001	  1.169290E+001	  8.462048E+000	  4.587039E+000	  7.913045E-001
         0.7000	  5.154129E+001	  5.079032E+001	  4.958409E+001	  4.799167E+001	  4.669628E+001	  4.581059E+001	  4.499267E+001	  4.393734E+001	  4.313181E+001	  4.322515E+001	  4.387786E+001	  4.470877E+001	  4.569685E+001	  4.618277E+001	  4.568035E+001	  4.431748E+001	  4.259287E+001	  4.066200E+001	  3.837840E+001	  3.603486E+001	  3.386522E+001	  3.171410E+001	  2.936950E+001	  2.723267E+001	  2.502128E+001	  2.260620E+001	  1.995142E+001	  1.731676E+001	  1.442493E+001	  1.125580E+001	  8.123173E+000	  4.813135E+000	  9.253269E-001	 -2.816845E+000
         0.8000	  5.325748E+001	  5.240329E+001	  5.106057E+001	  4.932590E+001	  4.786805E+001	  4.679854E+001	  4.591426E+001	  4.521579E+001	  4.500325E+001	  4.558905E+001	  4.648672E+001	  4.747443E+001	  4.842968E+001	  4.834207E+001	  4.714270E+001	  4.539734E+001	  4.321517E+001	  4.075321E+001	  3.822909E+001	  3.571983E+001	  3.343061E+001	  3.119068E+001	  2.876061E+001	  2.652534E+001	  2.419335E+001	  2.165377E+001	  1.889498E+001	  1.620022E+001	  1.329345E+001	  1.016371E+001	  7.115036E+000	  3.924965E+000	  1.955615E-001	 -3.395649E+000
         0.9000	  5.248239E+001	  5.186328E+001	  5.088531E+001	  4.962342E+001	  4.844713E+001	  4.754020E+001	  4.675937E+001	  4.612817E+001	  4.590897E+001	  4.640924E+001	  4.728981E+001	  4.832704E+001	  4.932146E+001	  4.928251E+001	  4.821578E+001	  4.656258E+001	  4.443240E+001	  4.214719E+001	  3.983309E+001	  3.751129E+001	  3.536616E+001	  3.323001E+001	  3.084946E+001	  2.860783E+001	  2.623175E+001	  2.360909E+001	  2.072206E+001	  1.786938E+001	  1.476774E+001	  1.141947E+001	  8.171124E+000	  4.804506E+000	  9.215048E-001	 -2.767105E+000
         1.0000	  5.179668E+001	  5.070889E+001	  4.931563E+001	  4.787477E+001	  4.661991E+001	  4.561749E+001	  4.486554E+001	  4.451423E+001	  4.481032E+001	  4.578824E+001	  4.702903E+001	  4.823918E+001	  4.933438E+001	  4.960564E+001	  4.891628E+001	  4.739084E+001	  4.538167E+001	  4.327479E+001	  4.113440E+001	  3.893649E+001	  3.687271E+001	  3.479097E+001	  3.243258E+001	  3.018133E+001	  2.777302E+001	  2.509404E+001	  2.212208E+001	  1.916433E+001	  1.592979E+001	  1.242637E+001	  9.029628E+000	  5.526365E+000	  1.520982E+000	 -2.245801E+000
         1.1000	  5.178609E+001	  5.070828E+001	  4.932684E+001	  4.790660E+001	  4.669460E+001	  4.577439E+001	  4.516864E+001	  4.501717E+001	  4.545754E+001	  4.632836E+001	  4.710181E+001	  4.785624E+001	  4.868792E+001	  4.902842E+001	  4.847648E+001	  4.703438E+001	  4.510022E+001	  4.300642E+001	  4.086836E+001	  3.867524E+001	  3.661667E+001	  3.454520E+001	  3.221209E+001	  2.999828E+001	  2.763936E+001	  2.502157E+001	  2.212078E+001	  1.923279E+001	  1.606751E+001	  1.262357E+001	  9.263066E+000	  5.772483E+000	  1.754712E+000	 -2.040170E+000
         1.2000	  5.167599E+001	  5.059222E+001	  4.917876E+001	  4.771128E+001	  4.641588E+001	  4.533267E+001	  4.442025E+001	  4.383146E+001	  4.384980E+001	  4.449848E+001	  4.540546E+001	  4.636760E+001	  4.728534E+001	  4.750878E+001	  4.716950E+001	  4.615589E+001	  4.438174E+001	  4.261136E+001	  4.057906E+001	  3.835675E+001	  3.627792E+001	  3.419253E+001	  3.187326E+001	  2.971838E+001	  2.746721E+001	  2.499885E+001	  2.227608E+001	  1.956455E+001	  1.657970E+001	  1.330200E+001	  1.005977E+001	  6.636567E+000	  2.625326E+000	 -1.221687E+000
         1.3000	  4.898497E+001	  4.799783E+001	  4.670176E+001	  4.537610E+001	  4.442451E+001	  4.379629E+001	  4.329519E+001	  4.299809E+001	  4.325014E+001	  4.406023E+001	  4.502724E+001	  4.596948E+001	  4.675764E+001	  4.675462E+001	  4.610333E+001	  4.505201E+001	  4.357208E+001	  4.203075E+001	  4.025799E+001	  3.827747E+001	  3.630651E+001	  3.431716E+001	  3.208624E+001	  3.000913E+001	  2.784917E+001	  2.550064E+001	  2.292827E+001	  2.037353E+001	  1.755787E+001	  1.445029E+001	  1.135013E+001	  8.041082E+000	  4.112681E+000	  2.956934E-001
         1.4000	  5.112032E+001	  5.066303E+001	  4.929941E+001	  4.781716E+001	  4.676691E+001	  4.610594E+001	  4.528026E+001	  4.429102E+001	  4.380037E+001	  4.403388E+001	  4.464693E+001	  4.546252E+001	  4.636639E+001	  4.642999E+001	  4.565403E+001	  4.442474E+001	  4.274461E+001	  4.106564E+001	  3.921208E+001	  3.719862E+001	  3.522623E+001	  3.325745E+001	  3.106644E+001	  2.902995E+001	  2.691133E+001	  2.460742E+001	  2.208526E+001	  1.958156E+001	  1.682154E+001	  1.377217E+001	  1.072489E+001	  7.465420E+000	  3.586316E+000	 -1.921847E-001
         1.5000	  5.243082E+001	  5.122972E+001	  4.943178E+001	  4.783845E+001	  4.661363E+001	  4.561868E+001	  4.443610E+001	  4.333340E+001	  4.300390E+001	  4.347413E+001	  4.425264E+001	  4.524445E+001	  4.637825E+001	  4.638966E+001	  4.541492E+001	  4.404158E+001	  4.215698E+001	  4.023429E+001	  3.816922E+001	  3.598575E+001	  3.390957E+001	  3.188176E+001	  2.967333E+001	  2.765064E+001	  2.556298E+001	  2.330169E+001	  2.082839E+001	  1.837037E+001	  1.565462E+001	  1.264558E+001	  9.630107E+000	  6.397102E+000	  2.542438E+000	 -1.216605E+000
         1.6000	  5.254225E+001	  5.129274E+001	  4.947963E+001	  4.791873E+001	  4.671578E+001	  4.571151E+001	  4.449101E+001	  4.334886E+001	  4.296493E+001	  4.343031E+001	  4.423333E+001	  4.521534E+001	  4.635763E+001	  4.645160E+001	  4.554071E+001	  4.417560E+001	  4.224212E+001	  4.019809E+001	  3.806729E+001	  3.578075E+001	  3.364047E+001	  3.155051E+001	  2.928046E+001	  2.720328E+001	  2.505791E+001	  2.273302E+001	  2.019174E+001	  1.767163E+001	  1.489716E+001	  1.183749E+001	  8.787007E+000	  5.532737E+000	  1.671363E+000	 -2.079081E+000
         1.7000	  5.249725E+001	  5.122188E+001	  4.941077E+001	  4.786927E+001	  4.667636E+001	  4.567293E+001	  4.446357E+001	  4.336185E+001	  4.300950E+001	  4.349508E+001	  4.433083E+001	  4.529250E+001	  4.639678E+001	  4.652501E+001	  4.562632E+001	  4.422578E+001	  4.227030E+001	  4.016716E+001	  3.801913E+001	  3.569765E+001	  3.353590E+001	  3.142508E+001	  2.913446E+001	  2.703859E+001	  2.487324E+001	  2.252666E+001	  1.996315E+001	  1.742434E+001	  1.463482E+001	  1.156631E+001	  8.515115E+000	  5.267976E+000	  1.423226E+000	 -2.305447E+000
         1.8000	  5.233042E+001	  5.106414E+001	  4.927438E+001	  4.771616E+001	  4.649786E+001	  4.548907E+001	  4.432467E+001	  4.327374E+001	  4.295732E+001	  4.350197E+001	  4.441050E+001	  4.539406E+001	  4.640859E+001	  4.657579E+001	  4.579850E+001	  4.445850E+001	  4.261220E+001	  4.062474E+001	  3.858439E+001	  3.636819E+001	  3.426803E+001	  3.218738E+001	  2.989472E+001	  2.777339E+001	  2.556632E+001	  2.316420E+001	  2.053516E+001	  1.793201E+001	  1.507716E+001	  1.194727E+001	  8.847850E+000	  5.563137E+000	  1.689391E+000	 -2.055500E+000
         1.9000	  5.164279E+001	  5.053682E+001	  4.887432E+001	  4.733368E+001	  4.613181E+001	  4.519280E+001	  4.421119E+001	  4.337329E+001	  4.327258E+001	  4.399330E+001	  4.505814E+001	  4.615822E+001	  4.705721E+001	  4.714166E+001	  4.640393E+001	  4.511766E+001	  4.336286E+001	  4.150304E+001	  3.957786E+001	  3.746499E+001	  3.543220E+001	  3.337902E+001	  3.107031E+001	  2.890237E+001	  2.662507E+001	  2.413006E+001	  2.138879E+001	  1.867138E+001	  1.569513E+001	  1.244448E+001	  9.243858E+000	  5.874503E+000	  1.929505E+000	 -1.859879E+000
         2.0000	  5.120310E+001	  5.017420E+001	  4.860942E+001	  4.705380E+001	  4.589478E+001	  4.519567E+001	  4.477302E+001	  4.457110E+001	  4.457596E+001	  4.477936E+001	  4.545052E+001	  4.636212E+001	  4.712749E+001	  4.715734E+001	  4.636813E+001	  4.512366E+001	  4.349429E+001	  4.173361E+001	  3.990296E+001	  3.787334E+001	  3.591651E+001	  3.391153E+001	  3.163014E+001	  2.947502E+001	  2.720286E+001	  2.470307E+001	  2.194316E+001	  1.919353E+001	  1.616724E+001	  1.284739E+001	  9.569293E+000	  6.115860E+000	  2.078951E+000	 -1.784819E+000
         2.1000	  5.047294E+001	  4.956117E+001	  4.806659E+001	  4.647667E+001	  4.539030E+001	  4.491458E+001	  4.474555E+001	  4.467028E+001	  4.461850E+001	  4.480355E+001	  4.555198E+001	  4.646688E+001	  4.721769E+001	  4.729192E+001	  4.654126E+001	  4.521849E+001	  4.354210E+001	  4.178057E+001	  3.990522E+001	  3.784446E+001	  3.588397E+001	  3.387254E+001	  3.157936E+001	  2.940994E+001	  2.711835E+001	  2.459057E+001	  2.179344E+001	  1.900303E+001	  1.593032E+001	  1.256090E+001	  9.238635E+000	  5.746931E+000	  1.678517E+000	 -2.201819E+000
         2.2000	  4.791204E+001	  4.798034E+001	  4.822536E+001	  4.758885E+001	  4.607726E+001	  4.500328E+001	  4.466591E+001	  4.453760E+001	  4.447677E+001	  4.510126E+001	  4.612900E+001	  4.705847E+001	  4.764392E+001	  4.756732E+001	  4.673328E+001	  4.531032E+001	  4.359460E+001	  4.181028E+001	  3.985415E+001	  3.778040E+001	  3.581474E+001	  3.379357E+001	  3.148491E+001	  2.930001E+001	  2.699057E+001	  2.444055E+001	  2.161762E+001	  1.880163E+001	  1.570101E+001	  1.230118E+001	  8.949598E+000	  5.429022E+000	  1.331683E+000	 -2.569558E+000
