141  NumCoords ! Number of coordinates 
! ......... x-y coordinates are next if NumCoords > 0 ............. 
! x-y coordinate of airfoil reference 
!  x/c        y/c 
0.250000 0.000000 
! coordinates of airfoil shape  
! ../../Deliver_FAST/CertTest/5MW_Baseline/AirfoilsModified/AF16Coords.txt 
! x/c      y/c  
1.000000 0.000588 
0.999482 0.000761 
0.997928 0.001280 
0.995343 0.002138 
0.991731 0.003323 
0.987100 0.004693 
0.981459 0.006248 
0.974820 0.008034 
0.967197 0.010057 
0.958606 0.012301 
0.949064 0.014767 
0.938591 0.017463 
0.927210 0.020383 
0.914943 0.023527 
0.901816 0.026891 
0.887856 0.030464 
0.873092 0.034234 
0.857555 0.038197 
0.841277 0.042334 
0.824291 0.046634 
0.806633 0.051059 
0.788340 0.055596 
0.769449 0.060221 
0.750000 0.064912 
0.730033 0.069609 
0.709588 0.074312 
0.688710 0.078995 
0.667440 0.083618 
0.645823 0.088152 
0.623904 0.092559 
0.601728 0.096771 
0.579341 0.100758 
0.556790 0.104498 
0.534121 0.107939 
0.511382 0.111052 
0.488618 0.113788 
0.465879 0.116093 
0.443210 0.117966 
0.420659 0.119285 
0.398272 0.120004 
0.376096 0.120048 
0.354177 0.119485 
0.332560 0.118397 
0.311290 0.116837 
0.290412 0.114831 
0.269967 0.112412 
0.250000 0.109616 
0.230551 0.106463 
0.211660 0.102983 
0.193367 0.099203 
0.175709 0.095154 
0.158723 0.090865 
0.142445 0.086345 
0.126908 0.081633 
0.112144 0.076753 
0.098184 0.071734 
0.085057 0.066598 
0.072790 0.061361 
0.061409 0.056070 
0.050936 0.050744 
0.041394 0.045410 
0.032803 0.040104 
0.025180 0.034894 
0.018541 0.029760 
0.012900 0.024718 
0.008269 0.019775 
0.004657 0.014923 
0.002072 0.010088 
0.000518 0.005069 
0.000000 0.000000 
0.000000 0.000000 
0.000518 -0.004738 
0.002072 -0.009350 
0.004657 -0.013655 
0.008269 -0.017597 
0.012900 -0.021352 
0.018541 -0.024999 
0.025180 -0.028561 
0.032803 -0.032008 
0.041394 -0.035362 
0.050936 -0.038608 
0.061409 -0.041752 
0.072790 -0.044789 
0.085057 -0.047721 
0.098184 -0.050528 
0.112144 -0.053209 
0.126908 -0.055752 
0.142445 -0.058139 
0.158723 -0.060354 
0.175709 -0.062377 
0.193367 -0.064196 
0.211660 -0.065794 
0.230551 -0.067158 
0.250000 -0.068265 
0.269967 -0.069100 
0.290412 -0.069645 
0.311290 -0.069877 
0.332560 -0.069778 
0.354177 -0.069329 
0.376096 -0.068498 
0.398272 -0.067224 
0.420659 -0.065413 
0.443210 -0.063108 
0.465879 -0.060387 
0.488618 -0.057350 
0.511382 -0.054022 
0.534121 -0.050447 
0.556790 -0.046674 
0.579341 -0.042747 
0.601728 -0.038717 
0.623904 -0.034625 
0.645823 -0.030526 
0.667440 -0.026483 
0.688710 -0.022548 
0.709588 -0.018771 
0.730033 -0.015187 
0.750000 -0.011830 
0.769449 -0.008764 
0.788340 -0.005997 
0.806633 -0.003538 
0.824291 -0.001390 
0.841277 0.000379 
0.857555 0.001853 
0.873092 0.003036 
0.887856 0.003853 
0.901816 0.004478 
0.914943 0.004786 
0.927210 0.004867 
0.938591 0.004748 
0.949064 0.004452 
0.958606 0.004017 
0.967197 0.003470 
0.974820 0.002845 
0.981459 0.002199 
0.987100 0.001530 
0.991731 0.000876 
0.995343 0.000241 
0.997928 -0.000218 
0.999482 -0.000495 
1.000000 -0.000588 
