
Predictions were generated on 17-Apr-2019 at 09:55:40 using OpenFAST, compiled as a 64-bit application using double precision at commit -128-NOTFOUND
 linked with  NWTC Subroutine Library; ElastoDyn; InflowWind; AeroDyn
Predictions were generated on 17-Apr-2019 at 09:55:40 using AA 
 AeroAcoustics
Number of blades         :    3
Number of nodes per blade:   19
Number of observers      :    1
     Time           	_Obs1               	Bla1_Node1_Obs1     	Bla1_Node2_Obs1     	Bla1_Node3_Obs1     	Bla1_Node4_Obs1     	Bla1_Node5_Obs1     	Bla1_Node6_Obs1     	Bla1_Node7_Obs1     	Bla1_Node8_Obs1     	Bla1_Node9_Obs1     	Bla1_Node10_Obs1    	Bla1_Node11_Obs1    	Bla1_Node12_Obs1    	Bla1_Node13_Obs1    	Bla1_Node14_Obs1    	Bla1_Node15_Obs1    	Bla1_Node16_Obs1    	Bla1_Node17_Obs1    	Bla1_Node18_Obs1    	Bla1_Node19_Obs1    	Bla2_Node1_Obs1     	Bla2_Node2_Obs1     	Bla2_Node3_Obs1     	Bla2_Node4_Obs1     	Bla2_Node5_Obs1     	Bla2_Node6_Obs1     	Bla2_Node7_Obs1     	Bla2_Node8_Obs1     	Bla2_Node9_Obs1     	Bla2_Node10_Obs1    	Bla2_Node11_Obs1    	Bla2_Node12_Obs1    	Bla2_Node13_Obs1    	Bla2_Node14_Obs1    	Bla2_Node15_Obs1    	Bla2_Node16_Obs1    	Bla2_Node17_Obs1    	Bla2_Node18_Obs1    	Bla2_Node19_Obs1    	Bla3_Node1_Obs1     	Bla3_Node2_Obs1     	Bla3_Node3_Obs1     	Bla3_Node4_Obs1     	Bla3_Node5_Obs1     	Bla3_Node6_Obs1     	Bla3_Node7_Obs1     	Bla3_Node8_Obs1     	Bla3_Node9_Obs1     	Bla3_Node10_Obs1    	Bla3_Node11_Obs1    	Bla3_Node12_Obs1    	Bla3_Node13_Obs1    	Bla3_Node14_Obs1    	Bla3_Node15_Obs1    	Bla3_Node16_Obs1    	Bla3_Node17_Obs1    	Bla3_Node18_Obs1    	Bla3_Node19_Obs1    
      (s)           	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 
         0.1000	  4.337954E+001	  0.000000E+000	  0.000000E+000	  0.000000E+000	  0.000000E+000	 -1.138094E+001	 -5.765995E+000	 -8.126779E-001	  1.102389E+000	  3.277454E+000	  1.158772E+001	  1.478771E+001	  2.209289E+001	  1.691374E+001	  1.575586E+001	  1.560518E+001	  1.383437E+001	  1.309688E+001	  1.138798E+001	  5.493986E+000	  0.000000E+000	  0.000000E+000	  0.000000E+000	  0.000000E+000	 -1.075038E+001	 -7.143894E+000	 -4.318213E-001	  3.388042E+000	  4.110378E+000	  4.991815E+000	  6.057901E+000	  1.188075E+001	  1.699534E+001	  1.896345E+001	  1.960459E+001	  1.066834E+001	  1.090065E+001	  9.934407E+000	  5.575060E+000	  0.000000E+000	  0.000000E+000	  0.000000E+000	  0.000000E+000	 -1.365951E+001	 -7.331575E+000	 -4.943696E+000	  3.800310E-001	  5.463620E+000	  5.453484E+000	  6.591273E+000	  7.397908E+000	  8.227995E+000	  9.276328E+000	  1.003011E+001	  1.027743E+001	  1.060162E+001	  9.941096E+000	  5.603258E+000
         0.2000	  4.300873E+001	  0.000000E+000	  0.000000E+000	  0.000000E+000	  0.000000E+000	 -1.116198E+001	 -5.293613E+000	 -1.085524E+000	 -1.168110E+000	  7.401191E+000	  1.124083E+001	  1.110339E+001	  1.771599E+001	  1.757206E+001	  1.713955E+001	  1.916501E+001	  1.083264E+001	  1.104388E+001	  1.010754E+001	  5.803006E+000	  0.000000E+000	  0.000000E+000	  0.000000E+000	  0.000000E+000	 -1.084795E+001	 -7.607533E+000	  2.095599E-001	  3.302575E+000	  3.517862E+000	  4.018185E+000	  5.124035E+000	  1.104302E+001	  1.668851E+001	  1.933968E+001	  1.977653E+001	  1.091960E+001	  1.115896E+001	  1.035740E+001	  5.915034E+000	  0.000000E+000	  0.000000E+000	  0.000000E+000	  0.000000E+000	 -1.365619E+001	 -7.386626E+000	 -4.824290E+000	  2.470992E-001	  5.183040E+000	  4.852505E+000	  5.735148E+000	  6.179463E+000	  7.036683E+000	  8.268194E+000	  9.355249E+000	  9.728999E+000	  1.010569E+001	  9.415279E+000	  5.124618E+000
         0.3000	  4.295249E+001	  0.000000E+000	  0.000000E+000	  0.000000E+000	  0.000000E+000	 -1.115926E+001	 -5.176034E+000	 -1.574858E+000	  2.922610E-002	  7.671261E+000	  1.061564E+001	  1.013838E+001	  1.645258E+001	  1.766967E+001	  1.761238E+001	  1.935008E+001	  1.102538E+001	  1.127701E+001	  1.030704E+001	  5.979954E+000	  0.000000E+000	  0.000000E+000	  0.000000E+000	  0.000000E+000	 -1.100429E+001	 -8.044746E+000	  1.322751E-001	  3.175983E+000	  3.404758E+000	  3.912084E+000	  4.916556E+000	  1.088565E+001	  1.656332E+001	  1.926485E+001	  1.968039E+001	  1.081938E+001	  1.130012E+001	  1.021535E+001	  5.938283E+000	  0.000000E+000	  0.000000E+000	  0.000000E+000	  0.000000E+000	 -1.363284E+001	 -7.389828E+000	 -3.977884E+000	 -4.168756E-001	  5.534573E+000	  5.710047E+000	  6.515986E+000	  6.953465E+000	  7.523883E+000	  8.372111E+000	  9.453545E+000	  9.779565E+000	  1.016223E+001	  9.509781E+000	  5.225601E+000
         0.4000	  4.189942E+001	  0.000000E+000	  0.000000E+000	  0.000000E+000	  0.000000E+000	 -1.115738E+001	 -5.013941E+000	 -1.779023E+000	  4.292595E-001	  7.673758E+000	  1.094052E+001	  1.082968E+001	  1.740663E+001	  1.800202E+001	  1.735750E+001	  1.924714E+001	  1.115970E+001	  1.132711E+001	  1.045299E+001	  6.163244E+000	  0.000000E+000	  0.000000E+000	  0.000000E+000	  0.000000E+000	 -1.104647E+001	 -8.451431E+000	  9.139644E-002	  2.981037E+000	  3.271828E+000	  3.810763E+000	  4.842423E+000	  5.986837E+000	  1.171849E+001	  1.716603E+001	  1.042190E+001	  1.047228E+001	  1.090167E+001	  9.891767E+000	  5.651669E+000	  0.000000E+000	  0.000000E+000	  0.000000E+000	  0.000000E+000	 -1.374132E+001	 -7.270127E+000	 -3.654805E+000	 -7.816649E-001	  5.942781E+000	  8.397855E+000	  8.041777E+000	  8.624125E+000	  8.838529E+000	  9.386879E+000	  1.004632E+001	  1.038350E+001	  1.075533E+001	  1.009423E+001	  5.785123E+000
         0.5000	  4.196501E+001	  0.000000E+000	  0.000000E+000	  0.000000E+000	  0.000000E+000	 -1.132162E+001	 -4.902031E+000	 -1.847102E+000	  2.054310E-002	  7.673863E+000	  1.146507E+001	  1.366454E+001	  1.903000E+001	  1.844165E+001	  1.691138E+001	  1.906185E+001	  1.211835E+001	  1.191193E+001	  1.083654E+001	  6.125619E+000	  0.000000E+000	  0.000000E+000	  0.000000E+000	  0.000000E+000	 -1.124776E+001	 -9.029696E+000	 -9.779882E-003	  2.749014E+000	  3.085749E+000	  3.795125E+000	  4.892021E+000	  5.956652E+000	  7.430871E+000	  9.010904E+000	  9.993490E+000	  1.018368E+001	  1.040079E+001	  9.434748E+000	  5.122442E+000	  0.000000E+000	  0.000000E+000	  0.000000E+000	  0.000000E+000	 -1.375387E+001	 -7.152567E+000	 -3.706345E+000	 -2.690522E-001	  6.257645E+000	  9.058321E+000	  9.258331E+000	  1.037302E+001	  1.091315E+001	  1.136801E+001	  1.167014E+001	  1.155962E+001	  1.165746E+001	  1.087546E+001	  6.270298E+000
         0.6000	  4.443454E+001	  0.000000E+000	  0.000000E+000	  0.000000E+000	  0.000000E+000	 -1.098605E+001	 -4.687869E+000	 -2.058442E+000	  8.257966E-003	  7.634356E+000	  1.192374E+001	  1.449277E+001	  2.164228E+001	  1.894385E+001	  1.661718E+001	  1.892265E+001	  1.480271E+001	  1.388495E+001	  1.217211E+001	  6.095376E+000	  0.000000E+000	  0.000000E+000	  0.000000E+000	  0.000000E+000	 -1.175509E+001	 -9.862037E+000	 -1.796726E-001	  2.574484E+000	  3.044788E+000	  4.034299E+000	  5.355660E+000	  6.609395E+000	  8.125184E+000	  9.463732E+000	  1.027434E+001	  1.038585E+001	  1.065917E+001	  9.793308E+000	  4.676866E+000	  0.000000E+000	  0.000000E+000	  0.000000E+000	  0.000000E+000	 -1.342606E+001	 -6.984771E+000	 -3.677759E+000	 -5.297011E-002	  6.519251E+000	  9.754956E+000	  1.034579E+001	  1.227836E+001	  1.879029E+001	  2.274233E+001	  1.492769E+001	  1.450963E+001	  1.444726E+001	  1.311418E+001	  6.748131E+000
         0.7000	  4.656539E+001	  0.000000E+000	  0.000000E+000	  0.000000E+000	  0.000000E+000	 -1.102925E+001	 -4.695011E+000	 -2.865482E+000	  9.001626E-001	  7.679753E+000	  1.192420E+001	  1.475212E+001	  2.193634E+001	  2.400606E+001	  1.685295E+001	  1.896798E+001	  1.870824E+001	  1.813653E+001	  1.530061E+001	  5.818992E+000	  0.000000E+000	  0.000000E+000	  0.000000E+000	  0.000000E+000	 -1.213713E+001	 -8.748304E+000	 -1.702064E-001	  2.571209E+000	  3.379559E+000	  4.638657E+000	  6.597169E+000	  8.352334E+000	  1.012143E+001	  1.168579E+001	  1.283883E+001	  1.319434E+001	  1.341536E+001	  1.192649E+001	  4.599801E+000	  0.000000E+000	  0.000000E+000	  0.000000E+000	  0.000000E+000	 -1.339686E+001	 -6.901579E+000	 -3.342955E+000	 -4.836352E-001	  6.802685E+000	  1.051927E+001	  1.303502E+001	  1.366106E+001	  2.045127E+001	  2.408932E+001	  2.011428E+001	  1.800508E+001	  1.759646E+001	  1.510085E+001	  6.702013E+000
         0.8000	  4.802167E+001	  0.000000E+000	  0.000000E+000	  0.000000E+000	  0.000000E+000	 -1.106831E+001	 -4.892264E+000	 -4.094584E+000	  1.835682E+000	  7.828893E+000	  1.170717E+001	  1.455165E+001	  2.170968E+001	  2.464588E+001	  2.356499E+001	  2.047674E+001	  2.060019E+001	  2.051081E+001	  1.867786E+001	  5.845323E+000	  0.000000E+000	  0.000000E+000	  0.000000E+000	  0.000000E+000	 -1.238549E+001	 -7.152757E+000	 -9.703983E-002	  2.592153E+000	  3.655356E+000	  5.335164E+000	  7.784449E+000	  1.019197E+001	  1.238654E+001	  1.431718E+001	  1.570168E+001	  1.592809E+001	  1.572189E+001	  1.342674E+001	  4.872990E+000	  0.000000E+000	  0.000000E+000	  0.000000E+000	  0.000000E+000	 -1.335813E+001	 -6.879982E+000	 -3.108314E+000	 -1.531361E+000	  6.675840E+000	  1.080883E+001	  1.380824E+001	  1.625420E+001	  2.307264E+001	  2.432474E+001	  1.965846E+001	  1.926910E+001	  1.904931E+001	  1.658342E+001	  6.294024E+000
         0.9000	  4.909304E+001	  0.000000E+000	  0.000000E+000	  0.000000E+000	  0.000000E+000	 -1.102683E+001	 -5.341256E+000	 -5.011334E+000	  2.288336E+000	  7.885083E+000	  1.143693E+001	  1.439677E+001	  2.150882E+001	  2.492172E+001	  2.427028E+001	  2.199499E+001	  2.349034E+001	  2.379084E+001	  2.018334E+001	  5.870481E+000	  0.000000E+000	  0.000000E+000	  0.000000E+000	  0.000000E+000	 -1.325552E+001	 -7.320967E+000	 -2.730213E-001	  1.265363E+000	  3.333755E+000	  4.974163E+000	  7.426800E+000	  9.945635E+000	  1.229082E+001	  1.441697E+001	  1.602467E+001	  1.651035E+001	  1.647640E+001	  1.435973E+001	  5.360665E+000	  0.000000E+000	  0.000000E+000	  0.000000E+000	  0.000000E+000	 -1.332688E+001	 -6.932890E+000	 -2.983519E+000	 -3.161430E+000	  6.231255E+000	  1.089128E+001	  1.391287E+001	  1.661895E+001	  2.342485E+001	  2.676810E+001	  1.979289E+001	  1.994033E+001	  1.989555E+001	  1.787767E+001	  5.724130E+000
         1.0000	  4.850059E+001	  0.000000E+000	  0.000000E+000	  0.000000E+000	  0.000000E+000	 -1.083792E+001	 -5.656734E+000	 -7.612816E+000	  2.571888E+000	  7.771442E+000	  1.145615E+001	  1.427082E+001	  2.137092E+001	  2.497061E+001	  2.439542E+001	  2.225046E+001	  2.347425E+001	  2.377070E+001	  2.015100E+001	  5.748866E+000	  0.000000E+000	  0.000000E+000	  0.000000E+000	  0.000000E+000	 -1.387478E+001	 -1.001099E+001	 -7.191598E-001	  8.188831E-001	  2.806260E+000	  4.373504E+000	  6.472867E+000	  8.564126E+000	  1.090480E+001	  1.327599E+001	  1.535444E+001	  1.641421E+001	  1.690323E+001	  1.523445E+001	  5.507533E+000	  0.000000E+000	  0.000000E+000	  0.000000E+000	  0.000000E+000	 -1.327812E+001	 -6.961535E+000	 -2.849419E+000	 -3.382452E+000	  5.761582E+000	  1.074090E+001	  1.382195E+001	  1.659597E+001	  1.881213E+001	  2.074126E+001	  2.215795E+001	  2.259077E+001	  2.277246E+001	  1.893576E+001	  5.160734E+000
         1.1000	  4.836591E+001	  0.000000E+000	  0.000000E+000	  0.000000E+000	  0.000000E+000	 -1.075982E+001	 -5.982382E+000	 -5.278120E+000	  2.714492E+000	  7.783337E+000	  1.140696E+001	  1.417896E+001	  2.126716E+001	  2.491312E+001	  2.429659E+001	  2.206123E+001	  2.320686E+001	  2.140396E+001	  1.967603E+001	  5.676464E+000	  0.000000E+000	  0.000000E+000	  0.000000E+000	  0.000000E+000	 -1.415096E+001	 -1.080806E+001	 -1.298847E+000	  1.844225E+000	  2.744621E+000	  4.188160E+000	  6.120407E+000	  7.997593E+000	  1.009923E+001	  1.631297E+001	  1.449284E+001	  1.578816E+001	  1.662259E+001	  1.514514E+001	  5.654132E+000	  0.000000E+000	  0.000000E+000	  0.000000E+000	  0.000000E+000	 -1.315779E+001	 -6.956444E+000	 -2.558022E+000	 -2.191661E+000	  4.769841E+000	  1.041994E+001	  1.382187E+001	  1.667271E+001	  1.889118E+001	  2.076820E+001	  2.217603E+001	  2.257996E+001	  2.278145E+001	  2.103160E+001	  4.624921E+000
         1.2000	  4.785233E+001	  0.000000E+000	  0.000000E+000	  0.000000E+000	  0.000000E+000	 -1.071759E+001	 -6.061404E+000	 -4.363409E+000	  2.803361E+000	  7.757663E+000	  1.127503E+001	  1.397711E+001	  2.105588E+001	  2.476766E+001	  2.409139E+001	  2.175464E+001	  2.075845E+001	  2.081265E+001	  1.893350E+001	  5.716886E+000	  0.000000E+000	  0.000000E+000	  0.000000E+000	  0.000000E+000	 -1.454279E+001	 -9.605238E+000	 -1.900659E+000	  1.980051E+000	  3.018226E+000	  4.345010E+000	  6.127321E+000	  7.782210E+000	  9.611987E+000	  1.142768E+001	  1.286556E+001	  1.353460E+001	  1.397688E+001	  1.284989E+001	  5.599341E+000	  0.000000E+000	  0.000000E+000	  0.000000E+000	  0.000000E+000	 -1.308226E+001	 -6.838818E+000	 -2.244783E+000	 -7.678835E-001	  3.025926E+000	  9.814819E+000	  1.380068E+001	  1.670460E+001	  1.896962E+001	  2.095278E+001	  2.230155E+001	  2.250478E+001	  2.256563E+001	  1.868176E+001	  4.571767E+000
         1.3000	  4.704079E+001	  0.000000E+000	  0.000000E+000	  0.000000E+000	  0.000000E+000	 -1.069109E+001	 -6.089593E+000	 -3.962984E+000	  2.840496E+000	  7.717609E+000	  1.096800E+001	  1.363824E+001	  2.070339E+001	  2.451887E+001	  1.831747E+001	  1.937521E+001	  2.011822E+001	  2.016799E+001	  1.845273E+001	  5.634024E+000	  0.000000E+000	  0.000000E+000	  0.000000E+000	  0.000000E+000	 -1.445357E+001	 -8.496894E+000	 -3.367040E+000	  1.848394E+000	  3.306832E+000	  4.560277E+000	  6.309254E+000	  7.739833E+000	  9.272222E+000	  1.068031E+001	  1.160388E+001	  1.181639E+001	  1.209427E+001	  1.107048E+001	  5.346195E+000	  0.000000E+000	  0.000000E+000	  0.000000E+000	  0.000000E+000	 -1.313726E+001	 -6.661122E+000	 -1.938198E+000	 -3.758208E-002	  4.943985E-001	  9.125161E+000	  1.385237E+001	  1.714111E+001	  1.937284E+001	  2.128706E+001	  2.252665E+001	  2.261767E+001	  2.253644E+001	  1.828503E+001	  4.764081E+000
         1.4000	  4.775163E+001	  0.000000E+000	  0.000000E+000	  0.000000E+000	  0.000000E+000	 -1.064178E+001	 -6.050559E+000	 -3.844253E+000	  2.941809E+000	  7.641680E+000	  1.070792E+001	  1.330221E+001	  1.878940E+001	  2.165010E+001	  1.825766E+001	  1.931427E+001	  1.954570E+001	  1.965562E+001	  1.786803E+001	  5.498528E+000	  0.000000E+000	  0.000000E+000	  0.000000E+000	  0.000000E+000	 -1.469277E+001	 -7.625564E+000	 -5.418596E+000	  1.744465E+000	  3.574470E+000	  4.766331E+000	  6.435535E+000	  7.674082E+000	  9.051256E+000	  1.027920E+001	  1.108025E+001	  1.112669E+001	  1.130455E+001	  1.035885E+001	  5.174584E+000	  0.000000E+000	  0.000000E+000	  0.000000E+000	  0.000000E+000	 -1.268501E+001	 -6.643823E+000	 -1.662562E+000	  4.154731E-001	 -2.376355E+000	  9.338784E+000	  1.428039E+001	  1.763950E+001	  2.473535E+001	  2.605685E+001	  2.277594E+001	  2.287934E+001	  2.064038E+001	  1.840971E+001	  5.231695E+000
